"id","inst","loc","gnd_id","short_name"
"LIB_0073","","","",""
"LIB_0074","","","",""
"LIB_0075","","","",""
"LIB_0076","","","",""
"LIB_0077","","","",""
"LIB_0078","","","",""
"LIB_0079","","","",""
"LIB_0080","","","",""
"LIB_0081","","","",""
"LIB_0082","","","",""
"LIB_0083","","","",""
"LIB_0084","","","",""
"LIB_0085","","","",""
"LIB_0086","","","",""
"LIB_0087","","","",""
"LIB_0088","","","",""
"LIB_0089","","","",""
"LIB_0090","","","",""
"LIB_0091","","","",""
"LIB_0092","","","",""
"LIB_0093","","","",""
"LIB_0094","","","",""
"LIB_0095","","","",""
"LIB_0096","","","",""
"LIB_0097","","","",""
"LIB_0098","","","",""
"LIB_0099","","","",""
"LIB_0100","","","",""
"LIB_0101","","","",""
"LIB_0102","","","",""
"LIB_0103","","","",""
"LIB_0104","","","",""
"LIB_0105","","","",""
"LIB_0106","","","",""
"LIB_0107","","","",""
"LIB_0108","","","",""
"LIB_0109","","","",""
"LIB_0110","","","",""
"LIB_0111","","","",""
"LIB_0112","","","",""
"LIB_0113","","","",""
"LIB_0114","","","",""
"LIB_0115","","","",""
"LIB_0116","","","",""
"LIB_0117","","","",""
"LIB_0118","","","",""
"LIB_0119","","","",""
"LIB_0120","","","",""
"LIB_0121","","","",""
"LIB_0122","","","",""
"LIB_0123","","","",""
"LIB_0124","","","",""
"LIB_0125","","","",""
"LIB_0126","","","",""
"LIB_0127","","","",""
"LIB_0128","","","",""
"LIB_0129","","","",""
"LIB_0130","","","",""
"LIB_0131","","","",""
"LIB_0132","","","",""
"LIB_0133","","","",""
"LIB_0134","","","",""
"LIB_0135","","","",""
"LIB_0136","","","",""
"LIB_0137","","","",""
"LIB_0138","","","",""
"LIB_0139","","","",""
"LIB_0140","","","",""
"LIB_0141","","","",""
"LIB_0142","","","",""
"LIB_0143","","","",""
"LIB_0144","","","",""
"LIB_0145","","","",""
"LIB_0146","","","",""
"LIB_0147","","","",""
"LIB_0148","","","",""
"LIB_0149","","","",""
"LIB_0150","","","",""
"LIB_0151","","","",""
"LIB_0152","","","",""
"LIB_0153","","","",""
"LIB_0154","","","",""
"LIB_0155","","","",""
"LIB_0156","","","",""
"LIB_0157","","","",""
"LIB_0158","","","",""
"LIB_0159","","","",""
"LIB_0160","","","",""
"LIB_0161","","","",""
"LIB_0162","","","",""
"LIB_0163","","","",""
"LIB_0164","","","",""
"LIB_0165","","","",""
"LIB_0166","","","",""
"LIB_0167","","","",""
"LIB_0168","","","",""
"LIB_0169","","","",""
"LIB_0170","","","",""
"LIB_0171","","","",""
"LIB_0172","","","",""
"LIB_0173","","","",""
"LIB_0174","","","",""
"LIB_0175","","","",""
"LIB_0176","","","",""
"LIB_0177","","","",""
"LIB_0178","","","",""
"LIB_0179","","","",""
"LIB_0180","","","",""
"LIB_0181","","","",""
"LIB_0182","","","",""
"LIB_0183","","","",""
"LIB_0184","","","",""
"LIB_0185","","","",""
"LIB_0186","","","",""
"LIB_0187","","","",""
"LIB_0188","","","",""
"LIB_0189","","","",""
"LIB_0190","","","",""
"LIB_0191","","","",""
"LIB_0192","","","",""
"LIB_0193","","","",""
"LIB_0194","","","",""
"LIB_0195","","","",""
"LIB_0196","","","",""
"LIB_0197","","","",""
"LIB_0198","","","",""
"LIB_0199","","","",""
"LIB_0200","","","",""
"LIB_0201","","","",""
"LIB_0202","","","",""
"LIB_0203","","","",""
"LIB_0204","","","",""
"LIB_0205","","","",""
"LIB_0206","","","",""
"LIB_0207","","","",""
"LIB_0208","","","",""
"LIB_0209","","","",""
